"bin bottom",azimuth,altitude,"distance (m)",latitude,longitude,"elevation (m amsl)"
19,19.07969,6.349445,12751.051045,37.341111,-118.236667,2634.000000
19.125,19.230783,6.436094,12732.072835,37.340833,-118.236389,2651.000000
19.25,19.33599,6.490005,12741.650297,37.340833,-118.236111,2664.000000
19.375,19.487662,6.514221,12721.246726,37.340556,-118.235833,2667.000000
19.5,19.592808,6.545714,12730.363951,37.340556,-118.235556,2675.000000
19.625,19.697817,6.581605,12739.643766,37.340556,-118.235278,2684.000000
19.75,19.802688,6.604032,12748.619944,37.340556,-118.235000,2690.000000
19.875,19.907421,6.604103,12757.055036,37.340556,-118.234722,2691.000000
20,20.012014,6.577404,12764.832495,37.340556,-118.234444,2686.000000
20.125,20.156271,6.533266,12676.216389,37.339722,-118.234444,2666.000000
20.25,20.26135,6.501901,12683.986154,37.339722,-118.234167,2660.000000
20.375,20.42215,6.455719,12729.166385,37.340000,-118.233611,2655.000000
20.5,20.513803,6.425301,12603.402964,37.338889,-118.233889,2634.000000
20.625,20.669056,6.376929,12581.867428,37.338611,-118.233611,2621.000000
20.75,20.769422,6.347584,12523.087997,37.338056,-118.233611,2608.000000
20.875,21.080831,6.353080,5530.369479,37.279444,-118.261111,1827.000000
21,21.197133,6.365744,5501.566161,37.279167,-118.261111,1825.000000
21.125,21.218756,6.413173,11929.726854,37.332778,-118.235000,2555.000000
21.25,21.329602,6.465522,11939.982413,37.332778,-118.234722,2567.000000
21.375,21.677013,6.530487,5521.509567,37.279167,-118.260556,1843.000000
21.5,21.605624,6.547693,11931.247476,37.332500,-118.234167,2583.000000
21.625,21.915764,6.622528,5531.757089,37.279167,-118.260278,1853.000000
21.75,21.915764,6.622528,5531.757089,37.279167,-118.260278,1853.000000
21.875,22.153716,6.642237,5541.293725,37.279167,-118.260000,1856.000000
22,22.27547,6.656127,5512.709454,37.278889,-118.260000,1854.000000
22.125,22.3985,6.659755,5484.033477,37.278611,-118.260000,1851.000000
22.25,22.513645,6.696279,5522.624014,37.278889,-118.259722,1859.000000
22.375,22.637707,6.731118,5494.350259,37.278611,-118.259722,1859.000000
22.5,22.579984,6.793883,11448.084822,37.327778,-118.234167,2576.000000
22.625,22.748703,6.859547,11497.486679,37.328056,-118.233611,2595.000000
22.75,22.869171,6.923805,11441.791822,37.327500,-118.233611,2601.000000
22.875,22.98352,6.992417,11453.167158,37.327500,-118.233333,2616.000000
23,23.097674,7.041029,11464.106242,37.327500,-118.233056,2627.000000
23.125,23.220294,7.086336,11408.097804,37.326944,-118.233056,2629.000000
23.25,23.363333,7.126067,11218.154885,37.325278,-118.233611,2613.000000
23.375,23.479581,7.185593,11229.518988,37.325278,-118.233333,2626.000000
23.5,23.606764,7.222287,11173.441311,37.324722,-118.233333,2626.000000
23.625,23.73525,7.238866,11116.911817,37.324167,-118.233333,2622.000000
23.75,23.874549,7.261387,9462.788371,37.310556,-118.240556,2415.000000
23.875,23.96681,7.304875,9368.371001,37.309722,-118.240833,2410.000000
